Beer,Rating,Review_Count,Style_1,Brewery,ABV%,IBU,Description
Larsol,3.7424999999999997,20,Farmhouse Ale,Forbidden Root Brewing Company,6.3,0,
Scofflaw Scottish Ale,3.7413793103448274,31,Scottish Ale,Temperance Row Brewing Co.,6.0,0,
Reunited,3.7411764705882353,54,Sour,Taft's Brewing Company,4.4,6,"Summer is here, and it feels so good. Reunited is a light and approachable Berliner Weisse with just the right amount of real peach and hand-picked basil to remind you of the best parts of the season. Show Less"
Rusty Bucket Jeffrey Pilsner,3.7394736842105263,20,Pilsner,North High Brewing,4.2,0,Light
Throb,3.73781512605042,125,IPA,Heart State Brewing,7.0,0,"Brewed with CTZ and simple hops. Bitter, hoppy, clean and juicy. Remember what IPAs used to taste like? We do! Show Less"
One Night Stand Batch #479,3.7375,21,Stout,Zaftig Brewing Co.,7.7,0,"This easy drinking stout clocks in at 7.7% ABV with a rich nose, sweet notes of cocoa at first sip, and a bittersweet chocolate finish. Show Less"
Blood Thirst Wheat,3.7363636363636363,46,Wheat Beer,Barley's Brewing Company (Brew Pub),5.0,3,Winner of our 14th annual Homebrew Competition in 2009. Lloyd Cicetti's Wheat Beer with Blood Oranges is a citrusy and supremely refreshing with floral notes thanks to Sicillian blood orange zest added to the brew kettle and puree added during and after fermentation. This hefeweizen has hints of fruity esters and spice from Bavarian wheat yeast. Show Less
Les Slø Tour Beaux,3.7341911764705884,141,Sour,Hoof Hearted Brewing,5.0,0,Hydroquench Ale w/ Lemon and Raspberry
POPE PILS I,3.7333333333333334,35,Pilsner,Holy Trinity Brewing Co,4.7,35,There will likely not be an American Pope in the foreseeable future but that doesn't mean we can't have an American Pope Pilsner! This clean and crisp Pilsner was fermented under pressure (just like an American Pope would be) and splits its malt makeup with some German as well as American malts. Note this is Pope Pils I. Does this mean it is first in the series? Could be the plan! Show Less
Gonna Need A Bigger Oat,3.73287037037037,119,Pale Ale,Saucy Brew Works,5.8,0,"Thick oat body with a smooth hop bitterness and big aromas of dank orange, fresh pineapple, green grass and lightly toasted coconut Show Less"
Lemon Glow,3.7328025477707003,170,Pale Ale,Land-Grant Brewing Company,5.8,28,"Cut through summer’s malaise with this zesty, luminously Hazy Pale Ale that packs a whole grove’s worth of lemon-forward hoppy zeal. Brewed not with actual lemons but with hop varieties—Lemondrop, Loral, Citra, and Centennial—that deliver a perceived golden citrus punch. Kick your feet up and peel back the top and bask in the Lemon Glow. Show Less"
Garden of Statues,3.7310810810810815,38,IPA,Derive Brewing Company,6.5,0,"Hazy IPA Double Dry Hopped with Medusa, Citra and Nelson Sauvin hops and a base of white wheat. 6.5% ABV. Show Less"
Rosé Gosé,3.7304347826086954,25,Sour,Hoof Hearted Brewing,4.2,5,"Just when you thought you had done slurped up all the neon, well, you done thought wrong. Rosé Gosé is hot pink in appearance with a tart berry flavor. Brewed with Himalayan Pink Sea Salt, Coriander, Hibiscus, then soured with Lactobacillus and fermented with Saison yeast. Slicker than your rich, French uncle sippin pink vino on the deck of a yacht off the coast of St. Tropez. Anchors down, pinkies up! Show Less"
I Wanna Be A Cowboy Too,3.729347826086957,49,IPA,Hoof Hearted Brewing,5.5,0,Double dry hopped sour india pale ale with vanilla and milk sugar
Drake's Lager,3.727272727272727,26,Lager,Goodwood Brewing,4.3,0,"Light taste, a little hoppy finish"
11th Commandment,3.726785714285714,30,Sour,Holy Trinity Brewing Co,6.5,5,"Most people don't know the 11th Commandment is ""Thou shalt not brew a sour beer."" We are familiar with that commandment here at Holy Trinity Brewing but the pressure has finally turned us to the dark side, though not completely. We have made a sour beer, though it has ample amounts of lactose to sweeten it up as well as plenty of apples and a touch of pie crust flavor to make it not ""completely"" sour. Enjoy this brew and thank the apple that Eve (Emily) picked to make this beer happen. Show Less"
99 Balloons,3.725,22,Wheat Beer,Columbus Brewing Company,5.3,0,"Bavarian-style Hefeweizen brewed with large amounts of malted wheat and featuring aromas of banana, clove, and citrus. Show Less"
Strings,3.723076923076923,26,Red Ale,Heart State Brewing,5.2,0,"Light, crisp, malty and clean."
Raspberry Wheat,3.7222222222222223,18,Fruit Beer,Barley's Brewing Company (Brew Pub),5.4,0,
Bomb-Pop 1862,3.722,25,Kölsch,Land-Grant Brewing Company,4.9,33,"Our 4th of July variant makes its return! To emulate the flavors of the patriotic treat, we've added cherry, raspberry, and lime to our 1862 Ale. Show Less"
Skittley Bittley Bop,3.7218750000000003,54,Sour,Hoof Hearted Brewing,8.0,0,"Kettle soured ale with raspberry, blueberry, vanilla, and coffee added."
SAINT AARON,3.7205882352941178,20,IPA,Holy Trinity Brewing Co,10.0,88,"Across the world, Saints are revered for the things they have done in life. So it goes in the brewery where we honor special people for all they have done to make Holy Trinity Brewing happen. This particular beer lets you know its Imperial status with a high alcohol content and Warrior hops to add a lot of bitterness. Dry hopped with Citra and Cascade hops to add that wonderful hop aroma finishes this beer as a tribute to our Saint Aaron. Show Less"
Est 1852 Lager,3.72,25,Lager,Crooked Can Ohio,5.2,18,Crisp summertime lager with a malty backbone and subtle rye spice.
Paint It Schwarz,3.719672131147541,65,Schwarzbier,Saucy Brew Works,5.3,0,"This lager was cool fermented but shares a lot of similar characteristics to a stout. It’s roasty, chocolate forward, and medium to thin-bodied. ⁠ Show Less"
Double Single,3.719148936170213,50,Pale Ale,Forbidden Root Brewing Company,6.2,0,Super crisp single malt and single hop pale ale. Just the right amount of hops to make you crave another one or three. Show Less
Ohi-Yo Heartland Lager,3.71875,17,Lager,Crooked Can Ohio,5.0,12,"Clean, crisp, all Pilsen Malt Lager with a faint floral hop finish."
James,3.717741935483871,33,Lager,Edison Brewing Company,5.5,0,"Golden maltiness of sweet grain, soft on the palate. Minimal Hop make this an easy drinking lager. Show Less"
Drugan Weizen,3.717241379310345,34,Wheat Beer,Goodwood Brewing,5.5,13,Hefeweizen is a South German Style wheat ale with a haze from the wonderful ale yeast in suspension. Wheat malt gives a sweet flavor while the aromas fro the fluctuation of fermentation temperatures bring clove and banana notes. Show Less
Jeff Ruby Ipa,3.716666666666667,15,IPA,Taft's Brewing Company,6.7,0,Am exclusive for Jeff Rubys
Saison,3.715909090909091,25,Farmhouse Ale,Derive Brewing Company,5.0,0,
Everything's Pine,3.7152777777777777,38,Pale Ale,Land-Grant Brewing Company,5.2,55,"Brewed in collaboration with our friends at Pins Mechanical, this crushable Juicy Pale Ale features Azacca, El Dorado, and Chinook hops with aromatic notes of pine and pineapple - because I'm Pine...It's Pine...Everything's Pine. Show Less"
The Light Inside the Darkness,3.7142857142857144,15,Porter,Goodwood Brewing,5.1,24,
Cinnamon Toast Brunch,3.713247863247863,122,Cream Ale,Wolf's Ridge Brewing,5.0,14,"Clear Sky Cream Ale infused with One Line coffee, vanilla, and cinnamon.

Gold Medal: 2017 Indiana Brewers Cup Show Less"
Ache Strawberry Creamsicle Sour,3.7129032258064516,31,Sour,Heart State Brewing,5.5,0,Sour ale with brewed with strawberry and vanilla
Pack IPA,3.7121794871794873,82,IPA,Wolf's Ridge Brewing,6.8,70,"From our pack to yours, we invite you to share and enjoy this IPA wherever your path leads you. Brimming with citra, mosaic, and amarillo hoppy goodness. Pack is the perfect companion for any and all awaiting adventures. Show Less"
Citrus Surf,3.7099236641221376,137,IPA,Wolf's Ridge Brewing,4.6,50,"Easy IPA infused with fresh grapefruit, orange, and lime zest."
Hop Harmonics,3.7094594594594597,40,Brett Beer,Wolf's Ridge Brewing,6.0,0,Barrel Aged Brett Mandarina Bavaria IPA
Infinity Hops,3.708888888888889,46,Pilsner,Taft's Brewing Company,5.2,42,"We searched the galaxy far and wide for the hops in our new Hopped Pilsner. Bold in both hop aroma and flavor, this crisp, dry brew has subtle malt and clean yeast characters that all come together to make the ultimate beer. Show Less"
Four Pillars,3.7083333333333335,18,Pale Ale,Land-Grant Brewing Company,5.3,45,"This beer is brewed to commemorate the First Anniversary of Columbus' National Veterans Memorial and Museum which was founded under the four guiding pillars to Honor, Connect, Inspire, Educate. Proceeds from this beer directly benefit its mission. Show Less"
River Surfer,3.7081395348837205,46,Lager,Wolf's Ridge Brewing,4.5,0,
Summer Symphony,3.705833333333333,63,Golden Ale,Forbidden Root Brewing Company,6.2,0,"Pilsner with jasmine, chamomile and iris"
Pineapple Express,3.7051724137931035,31,Wheat Beer,Seventh Son Brewing Company,0.0,0,
Perfect Opportunity,3.7037037037037037,33,IPA,Goodwood Brewing,4.8,36,
House Beer,3.7023809523809526,25,Lager,Land-Grant Brewing Company,4.6,0,
Dire Wolf Yub Nub,3.701923076923077,26,Stout,Wolf's Ridge Brewing,10.8,50,"Dire Wolf infused with cinnamon and One Line Espresso.

Beginning as a fun experiment with one of our favorite northeast Ohio bars for their annual ""may the 4th be with you"" event, this beer's name draws inspiration from a favorite childhood film-back before there was a special edition edit. Just like its inspiration, the beer itself became an oft-demanded fixture at our release parties. We're now finally pleased to present this bottle to you - an example of the power of fan adoration. ""Yub Nub, eee chop yub nub!""
Show Less"
Cincy Cobra,3.7014084507042253,157,IPA,Taft's Brewing Company,6.7,44,"Our Citra IPA is brewed to pack a punch of citrus flavors, in honor of Ezzard Charles. Show Less"
Hopes: West Coast Ipa,3.7,23,IPA,North High Brewing,6.8,70,Mild citrus taste with a mild hoppiness?
One Goal,3.6999999999999997,49,Pale Ale,Land-Grant Brewing Company,4.6,0,"This hazy, juicy, refreshing Pale Ale is brewed in support of Pelotonia’s mission of accelerating funding for innovative cancer research. $1.00 from every six pack sold and taproom pint poured will support that One Goal. Show Less"
Hilda,3.6982758620689653,31,Wheat Beer,Edison Brewing Company,5.1,0,"Light, sparking, classic Bavarian Weizen. Aroma and notes of phenol and clove with a touch of banana ester. Very subtle, soft dryness in the finish. Show Less"
"Oh, Sure",3.696650717703349,229,IPA,Land-Grant Brewing Company,6.4,37,"This can-do IPA keeps things positive with a healthy dose of Eureka, Comet, Simcoe, and Cashmere hops for a very balanced Tangerine, Mango, and Hard Candy vibe. Oh, sure. Show Less"
Summer Wheat,3.6964285714285716,31,Wheat Beer,Temperance Row Brewing Co.,4.3,0,
I Can Teach Blue,3.6946511627906977,225,IPA,Saucy Brew Works,7.5,0,"Brewed with wheat, two types of oats, and milk sugar for a thick, milkshake like body. Sabro hops are added to bring out berry and tropical notes, then we finish this beer with loads of fruit purée and vanilla beans. A soft and Smooth IPA with mild bitterness, blueberries and vanilla on the finish. Show Less"
Rosa,3.6925925925925926,27,IPA,Goodwood Brewing,6.0,15,Pink Guava Milkshake IPA
"America, Helles Yea!",3.6904761904761907,23,Lager,Goodwood Brewing,5.0,17,This german helles lager is a collab with our friends at Grove City Brewing Company. We love German lagers and love america. Coming out around July 4th time this crisp drinking bready helles will be the beer to cheers with at this celebratory time of the year Show Less
Sentimental,3.688028169014085,74,Porter,Seventh Son Brewing Company,7.0,0,Orange cacao porter
Heavy Hearted Amber,3.6875,29,Red Ale,Zaftig Brewing Co.,8.0,21,"Sometimes you win at love, sometimes you lose. With each loss there is a heaviness that sets into your heart. Get out of your funk with this full bodied, brilliant amber. The sweet aroma followed by a smooth taste will remind you that there is always another - beer or lover. Show Less"
SAINT CAREY,3.685714285714286,23,Märzen,Holy Trinity Brewing Co,5.3,13,"This Saint was one of the first to try our brews back in the homebrewing days and we knew we had hit on something tasty and easy drinking when he would give us the thumbs up. This terrific Oktoberfest style beer is his favorite style and we are proud to say it is ""Carey Allen approved!"" Show Less"
Juicy Asap - Hazy Edition,3.6826923076923075,27,IPA,Saucy Brew Works,6.7,0,"Super hazy and dripping with tropical fruit. Notes of stone fruit, peach, white grape, and kiwi. Show Less"
Falutin,3.6824324324324325,155,IPA,North High Brewing,6.0,41,
Block Party,3.682065217391304,101,Pilsner,Columbus Brewing Company,5.1,0,"Collaboration brew with neighbors Wolf's Ridge Brewing and Sideswipe Brewing. This unfiltered Italian-style Pilsner is brewed with Italian grown pilsner malt and hopped with German Tettnang, Hallertau Mittlefruh, Hallertau Blanc, and NZ Nelson Sauvin. Show Less"
Uncharted Territory,3.6811475409836065,64,Blonde Ale,Seventh Son Brewing Company,5.0,0,"Cholate blonde ale, infused with Haitian and Ugandan cocoa nibs"
Grapefruit Walleye,3.6787581699346408,159,IPA,North High Brewing,4.7,58,Citra hop session IPA with grapefruit juice.
Bourbon Barrel Ale,3.6770833333333335,25,Dark Ale,Goodwood Brewing,6.0,27,"Goodwood Bourbon Barrel Ale is refined by its time in the cask, not defined by it. The process produces balanced, adjunct-free ale with delicious bourbon notes. This copper-toned beaut is medium-bodied and malt-forward with a hint of sweet caramel. It finishes strong and dry with notes of vanilla and bourbon-soaked oak.

Show Less"
Extra Splendiferous,3.676470588235294,19,Pale Ale,Taft's Brewing Company,6.0,55,"Curiouser and curiouser... Our extra pale ale is just that: extra. Extra hops, extra malt, and extra aromas make this a beer full of extra flavor. Hoppy and crisp. Show Less"
BamBaLam (2022),3.675925925925926,28,Stout,Zaftig Brewing Co.,10.0,13,"We use Ghirardelli chocolate melted down in a double boiler, rolled oats, and coffee to create this rich, complex, and full-bodied stout. Thick, robust, yet perfectly balanced; 2022's vintage utilizes Backroom Roasters Costa Rican coffee. Show Less"
Best Mate,3.675675675675676,83,Pilsner,North High Brewing,5.0,0,"New Zealand pils
Crisp, refreshing"
Vienna Lager,3.6753086419753087,84,Lager,North High Brewing,5.0,12,Easy drinking copper colored lager with sweet malty flavors and aromas of toasted bread. Show Less
HOME RUN JESUS,3.6750000000000003,17,Belgian Quadrupel,Holy Trinity Brewing Co,9.5,33,"When Jesus hit his first home run in little league he circled the bases and celebrated by drinking one of these beauties. The king of the Belgian styles, this quad is not for beginners. Besides the high ABV, this brew stays close to style and may not be appreciated by those not ready for the malty sweetness of a quad. Enjoying this as the finish to a Grand Slam flight of Belgians will earn you a badge of honor. Show Less"
El Lager Ambar,3.6750000000000003,40,Lager,Saucy Brew Works,4.4,0,Smooth and snappy with a hint of toasty caramel sweetness at the finish
Strawberry Basil Hefeweizen,3.6739130434782608,169,Wheat Beer,Forbidden Root Brewing Company,5.0,0,"A German Hefeweizen brewed with Wild Strawberry and Urban Till Basil. Light, refreshing and slightly tart. Show Less"
Curb Appeal,3.6710526315789473,21,IPA,Derive Brewing Company,7.6,0,"BREWED WITH A BASE OF PILSNER MALTS, AND CARAMEL MALT, THIS WEST COAST IPA IS THEN HOPPED IN THE KETTLE WITH SIMCOE, MOSAIC AND AZACCA. DOUBLE DRY HOPPED WITH THE SAME HOPS WITH SPECIAL EMPHASIS ON DANK AND PUNGENT SIMCOE. FERMENTED CLEAN AND CRISP WITH A MODERATE BITTERNESS. Show Less"
Sona,3.670833333333333,101,Wheat Beer,Heart State Brewing,5.8,0,"Crisp, bright, citrus and inviting. A vibrant citrusy ale that pairs perfectly with all of your beautiful vibrancy Show Less"
Hazy Pale,3.6706349206349205,69,Pale Ale,North High Brewing,5.8,0,
Aloha Margarita,3.6693548387096775,32,Blonde Ale,Wolf's Ridge Brewing,6.0,0,Pineapple margarita ale to grocery
Juicy Asap Super Fruited,3.668181818181818,57,IPA,Saucy Brew Works,6.5,0,"Super Fruited Version of our top-selling American IPA, Juicy Asap. Packed with peach and mango and dripping with tropical flavors. Show Less"
Watermelon Wheat,3.6666666666666665,43,Fruit Beer,Temperance Row Brewing Co.,4.3,0,
Five Pale Ale,3.662878787878788,69,Pale Ale,North High Brewing,5.5,30,"Easy drinking dry-hopped pale ale, showcasing aromas of tropical fruit, citrus and herbs. Drinks like a session IPA, but with the body to balance the hops. Show Less"
Pils,3.6607142857142856,15,Pilsner,Columbus Brewing Company,5.2,0,Crisp German-style pilsner brewed with Tettnang and Saphir hops.
Alt Current,3.66,26,Altbier,Edison Brewing Company,4.7,0,Düsseldorf style Amber beer
Watermelon Gose,3.658333333333333,34,Sour,Goodwood Brewing,4.8,9,"A refreshing traditional German Sour Ale brewed with Coriander, Himalayan Sea Salt and as a delicious addition, Watermelon! Show Less"
Tides,3.6544117647058822,34,Sour,North High Brewing,4.0,18,A crisp and refreshing sour ale infused with raspberries.
Cherrywood Amber,3.6513888888888886,38,Red Ale,Taft's Brewing Company,6.0,23,American amber ale brewed with a touch of cherrywood smoked malt. Smooth and sultry. Show Less
Cold Boy,3.651315789473684,42,Lager,Taft's Brewing Company,4.5,20,"This anytime lager features American Pilsner malt and Saaz hops for a clean, balanced character that drinks smooth every time.

2019:
Gold - Ohio Craft Brewers Cup Show Less"
Hourglass,3.6508620689655173,62,IPA,Zaftig Brewing Co.,6.0,40,"Hourglass IPA is a classic New England with a different personality. By uniting Citra and Amarillo hops, we have built a crossover between a NEIPA and the popular West Coast style. Well balanced, with generous citrus notes and delicate maltiness, you get the best of both worlds. Show Less"
Land,3.65,16,Wheat Beer,Heart State Brewing,4.8,0,"Light, crisp, complex and wheaty."
Blood Orange Eastside IPA,3.65,25,IPA,Eastside Brewing Co,6.5,0,Blood Orange Eastside IPA
Steel Reverse,3.6479591836734695,52,Lager,Hoof Hearted Brewing,5.5,0,American-Style Lager with Cumberland Malted Corn and Montana Craft Pilsner Malt
Iconic 96 IPA,3.6470588235294117,17,IPA,Random Precision Brewing Company,7.2,51,"Iconic 96 is a Brettanomyces fermented IPA, brewed with Amarillo hops, dry hopped with more Amarillo and Azacca hops, and then infused with pineapple.
Show Less"
Cart Path Kölsch,3.6458333333333335,42,Kölsch,Zaftig Brewing Co.,4.5,0,"Our first Kölsch inspired ale is a crusher at 4.5% ABV! Expertly hopped with Cascade and Amarillo, this beer pays homage to its German roots while being uniquely American. The flavor is bright, crisp, and citrusy with notes of lemon and grapefruit. It is sure to quench your thirst over the sunny days of spring and summer. Whether at the golf course, hanging by the pool, or enjoying a COVID-free cookout; this beer will be here to show you the way to Flavortown. Show Less"
Summer Teeth,3.6441176470588235,132,Kellerbier / Zwickelbier,Columbus Brewing Company,5.3,18,"Beer is meant to be shared and nothing says summer like sharing a crisp, golden lager with friends. This traditional German style lager is brewed with a blend of European malts and hops to create a refreshing, easy-drinking beer.
Bronze Medal, Kellerbier or Zwickelbier, Great American Beer Festival® 2010

Show Less"
CHERRY POPPIN' JESUS,3.643103448275862,32,Porter,Holy Trinity Brewing Co,6.0,27,"Jesus was a man that had urges too, just like you! This pleasantly smooth but classic porter adds a bit of a surprise as it hits you in the pie hole with a cherry fist! Show Less"
Filthy McNasty,3.638888888888889,36,Stout,North High Brewing,9.0,50,"A Russian Imperial Stout with an intensely concentrated roasted malt character. Aggressively hopped to give it a resinous and herbal undertone.
IBUs: 50
Hops: Nugget, Falconers Flight
Malts: Pale, Roasted Barley, Black
Show Less"
Under the Mango Tree,3.638888888888889,84,Blonde Ale,Taft's Brewing Company,5.5,13,"Deep in the jungle, adventure and flavor await those who look for it. Loads of ripe mangoes blend with a crisp and refreshing mouthfeel in this easy-drinking, wild brew. Show Less"
Mini Bomb Blonde,3.6387500000000004,44,Blonde Ale,Zaftig Brewing Co.,5.0,0,"This spunky little offering proves blondes DO have more fun. Crisp, refreshing, and smooth with cereal malts; Mini Bomb Blonde is light, approachable, while not being overly hoppy. Subtle floral notes and unassuming citrus are present, but no one flavor dominates. The finish is soft and pleasant and round. Show Less"
Tuk Tuk,3.638157894736842,41,Lager,Seventh Son Brewing Company,5.0,0,
Inflatable Flamingo,3.6379518072289154,173,Wheat Beer,Land-Grant Brewing Company,5.0,0,"This light, fruity, Agua Fresca-inspired ale is the definition of a summer crusher and is perfectly at ease on the water. Whether that be the pool, the ocean, or the lake. Show Less"
Gustav,3.6354166666666665,24,Lager,Taft's Brewing Company,5.5,25,"Our multiple award-winning lager features notes of light honey balanced by a toasty finish.

2017:
Gold - Great American Beer Fest
Silver - US Open Beer Championship

2018:
Silver - World Beer Cup Show Less"
Technicolor Hat,3.635119047619048,87,IPA,Columbus Brewing Company,6.9,40,"Technicolor Hat is a citrus-packed IPA that’ll take you on a wild ride through lush citrus groves and tropical oases! Meyer lemon, tangerine and lime are tart on the tongue, but balanced perfectly with tropical notes of passionfruit and mango. Simcoe® and Centennial® hops bring it all together with a light bitterness that rounds out the journey for a clean, refreshing finish. Show Less"
Pitchback,3.630952380952381,45,IPA,Ohio Brewing Company - Columbus,4.5,30,SESSION IPA – An easy-going Session IPA with a focus on late and dry-hop additions for big hop flavor and aroma without a big alcohol bang. Show Less
Pins Pilsner,3.630952380952381,21,Pilsner,Seventh Son Brewing Company,0.0,0,
Jesty IPA,3.63,29,IPA,Goodwood Brewing,7.2,80,American IPA brewed with lemon zest and juniper berries
UK JESUS,3.628846153846154,26,Brown Ale,Holy Trinity Brewing Co,5.5,25,"Jesus traveled the world for many reasons, including looking for good brew. He spent a lot of time in the UK and Brown Ales were a big reason why. This sweet and malty ale goes great in the cool weather but is equally as nice on a summer night. Show Less"
Wired Coffee Stout,3.62875,43,Stout,North High Brewing,5.5,0,
Group Project,3.6285714285714286,30,Wheat Beer,Zaftig Brewing Co.,5.25,6,"The first collaboration between Forbidden
Root and Zaftig is an American wheat crafted
with lemon peel and real blueberry & lemon
puree resulting in a tart wheat ale that is not
overly sweet while still maintaining the
delicious fruity flavors from start to finish. Show Less"
Stealing Signs,3.6264957264957265,128,IPA,Saucy Brew Works,6.0,0,"A dank, citrusy American IPA that's perfect for a day spent outside. Collaboration with Origin Malt featuring their pils malt, and citra hops throughout. Show Less"
From the Heart Vol. 2,3.625714285714286,71,IPA,Combustion Brewery & Taproom,5.7,26,Notes of freshly squeezed orange and stone fruit
Pale Ale,3.625,18,Pale Ale,Barley's Brewing Company (Brew Pub),5.6,27,"Pale ale was the first beer we brewed in our brewery and continues to be one of our flagship ales. Because of the rich color of British malt, it is not very pale, but the rich flavor matches the color beautifully. Show Less"
JESUS-CLAUDE VAN DAMME,3.625,16,Belgian Dubbel,Holy Trinity Brewing Co,6.5,18,"We know Jesus summered in Brussels while in college but he really didn't elaborate on what he did there. All we know is he can drop kick you like a mother! This Dubbel style beer is malty sweet, flavored with sweet orange peel and coriander with fresh banana esters. Show Less"
Free Town,3.625,17,Rye Beer,Forbidden Root Brewing Company,5.0,0,
Jalalima Ale,3.6236263736263736,97,Chilli / Chile Beer,North High Brewing,5.8,16,A super-fresh aroma of jalapeños is complimented by the tang of a splash of lime juice. Show Less
Dub Jam - Peach Lemonade,3.6235632183908044,89,Sour,Saucy Brew Works,8.0,0,"Lachancea Tart Imperial Smoothie brewed with massive amounts of juicy, ripe peach and balanced
out with crisp, tart lemon. Show Less"
Ghostface,3.622448979591837,51,Pilsner,Taft's Brewing Company,4.5,42,"KABOOM!
Guess who stepped in the room?
It’s Ghostface, gold plates,
old truths, more cake.
Pilsner dry hopped with Pekko. Show Less"
Money On My Rind,3.621794871794872,41,Wheat Beer,Forbidden Root Brewing Company,5.0,9,"Juniper and grapefruit have become a legendary combination in pop culture, known for their ability to refresh and satisfy. So we take a witbier, spike it with juniper berries and the deliciousness of pure grapefruit, and add a peppery hint of grains of paradise. Show Less"
Flori,3.619565217391304,24,IPA,Ohio Brewing Company - Columbus,8.5,70,"DIPA – Fruity aromas of passionfruit, grapefruit and orange; with a soft mouthfeel and a balanced finish. Show Less"
The Foggus,3.6174999999999997,22,Wheat Beer,Somewhere In Particular Brewing,5.0,0,
Shaka,3.6145833333333335,27,IPA,Endeavor Brewing Co,6.5,0,"Select hops from three separate continents provide an accentuated aroma of tropical fruit, while keeping bitterness, alcohol content, and malt base balanced. Show Less"
Greenskeeper Session IPA,3.6137254901960785,53,IPA,Land-Grant Brewing Company,4.7,44,"Our Session IPA is brewed with leisure in mind. Whether you are making the turn or watching the game with old friends, it’s the perfect complement to an easygoing lifestyle.

Big citrus hop flavor that doesn’t overpower, medium body, and a low ABV allow for prolonged enjoyment through even the longest of afternoons. This is an IPA that deserves a day off. Show Less"
Taco Ninja,3.6119999999999997,82,Lager,Wolf's Ridge Brewing,4.5,9,"Mexican style lager with lime.

Feeling some tacos? It's gotta be Tuesday somewhere! Like a ninja at your door, this lager deftly quenches your thirst, leaving no trace of the beer behind. Before realizing what has happened, you're craving more! So next time you find yourself on $1 taco night and reaching for some lager, seek no further than the Taco Ninja!

Show Less"
Rosie Cheeks,3.607142857142857,19,Wheat Beer,Forbidden Root Brewing Company,5.0,0,"Wheat ale w strawberry, lemon, and vanilla."
All Mina,3.607142857142857,23,Pale Ale,Edison Brewing Company,4.8,0,A British-Style Pale Ale with a malty middle and light hop aroma and moderate hop flavor. A slightly minerally dry finish. Show Less
Peach Please,3.6043859649122805,60,Kölsch,Zaftig Brewing Co.,4.5,0,"Infused with peach purée and expertly hopped with Cascade and Amarillo, the flavor is fruity, bright, with subtle notes of lemon. The aroma is floral and lightly citrusy. Just the right amount of malty sweetness on the finish provides balance that is both clean and refreshing. Show Less"
Kulbit,3.6026666666666665,81,IPA,Ohio Brewing Company - Columbus,7.2,60,"OHIO IPA – Fruity aromas of passion fruit, grapefruit and orange; with a soft mouthfeel and a balanced finish. Show Less"
Piu Piu Ah,3.5985714285714288,35,Sour,Saucy Brew Works,6.0,0,"Lachancea Tart Peach Cobbler. Ripe peach, pleasantly sour with hints of cinnamon and soft vanilla. Show Less"
Tart N' Tempered,3.5985507246376813,74,Sour,Goodwood Brewing,5.5,0,Light as a cool breeze on a summer day with a hint of peach that's as charming as the south. Slightly tart finish keeps you coming back for another sip. Show Less
Pool Party,3.5980392156862746,117,Pilsner,Land-Grant Brewing Company,5.4,32,"Whether at a five-star resort or in your neighbor’s back yard, no pool party is complete without the crisp snap of a cold beer. This Pilsner takes its traditional base south of the equator with the addition of Southern Hemisphere hops known for their subtle aromas of tropical fruit and citrus—creating a highly drinkable and incredibly refreshing beer. So, when the weather heats up, throw on some sunscreen, hide your wallet in your shoe, grab a pils, and dive in head first. Show Less"
Peach Chroma,3.597826086956522,24,Fruit Beer,Columbus Brewing Company,4.5,0,"Golden wheat ale, fermented with Peach and Passion Fruit concentrate."
Nellie's Key Lime Ale,3.597474747474747,112,Wheat Beer,Taft's Brewing Company,4.8,19,American wheat beer brewed with keylime juice straight from the islands and a hint of coriander. Refreshingly fruity. Show Less
Razzlin On the Farm,3.5972222222222223,18,Farmhouse Ale,Somewhere In Particular Brewing,5.0,0,
Assistant Manager,3.594805194805195,79,Golden Ale,Seventh Son Brewing Company,4.5,36,The definition of a drinkable and refreshing. Delicate hops and golden malts give way to firm bitterness and a clean finish. Show Less
Lager,3.590666666666667,76,Lager,Columbus Brewing Company,4.5,0,"Light, refreshing lager with bready notes and a crisp, clean finish."
Photo Finish,3.590384615384615,30,Pale Ale,Forbidden Root Brewing Company,5.6,0,A brand new Pale Ale featuring Thiol Producing Yeast! It is hopped with 1lb per barrel Saaz in the Kettle Hop and 1 lb per barrel of Estate Grown Comet in the Dry Hop. Show Less
AJ’s Umbrella Ride,3.589655172413793,33,Kellerbier / Zwickelbier,Wolf's Ridge Brewing,5.4,0,Golden lager aged 3 weeks in our American oak foeders. Dry hopped w/ tettnang
Cali Gold,3.5833333333333335,40,Pilsner,Seventh Son Brewing Company,5.0,0,
Pineapple Upside Down Cake,3.583206106870229,144,Cream Ale,Wolf's Ridge Brewing,5.0,14,We have to credit our bar staff for suggesting this delicious cream ale variant. The brewers added copious amounts of pineapple puree and a hint of cherry to layer the flavor profile just right. Then we condition the beer on cinnamon and vanilla beans to make things complete - just like grandma made it! Show Less
I Feel Bad For Me,3.580833333333333,65,Pale Ale,Hoof Hearted Brewing,5.0,0,"Double dry-hopped pale ale featuring Zappa, El Dorado, and Citra hops."
WATER TO WINE,3.58,16,Wheat Beer,Holy Trinity Brewing Co,10.3,44,"Everyone knows the miracle of turning water to wine and we think we have something similar working here. This high-powered brew has a tropical character that favors a lightly fruited wheat beer. If you enjoy a Barleywine, this drink will show you that wheat is a great substitute for the usual ingredient. This rarely found style will be a treat for beer aficionados as well as those looking for a smooth but high-octane miracle from above. Enjoy! Show Less"
